Feature Name,Feature Group,Possible Values,Default Value,Feature Type,Validation for LLM,Notes/Comments,Addiitonal comments,,,Feature,Feature Group,Possible Values,Default Value,Prompt,version
doc_id,Case Identification,Alphanumeric string,N/A,String,Must be unique for each case,Identifier for each case,,,,doc_id,BasicFeatureEnum,None,unknown,,
paclii_id,Case Identification,Numeric/Alphanumeric case id assigned to the case by Paclii,N/A,String,Must be a valid identifier,Link or ID from the Pacific Legal Information Institute,,,,paclii_id,BasicFeatureEnum,None,unknown,,
paclii_url,Case Identification,URL,NA,URL,Must be a valid URL,,,,,,,,,,
case_citation,Case Identification,Text,N/A,String,Extract exactly as it appears in the case document,Official case reference,,,,case_citation,CaseInfoEnum,None,unknown,,
is_victim_female,Applicability,"Yes, No",N/A,Boolean,"Must be ""Yes"" or ""No""","If ""No"", the case is not applicable",,,,is_victim_female,BasicFeatureEnum,"yes, no",no,,
is_sentencing_decision,Applicability,"Yes, No",N/A,Boolean,"Must be ""Yes"" or ""No""","If ""No"", the case is not applicable",,,,is_sentencing_decision,BasicFeatureEnum,"yes, no",no,Sentencing Decision?,1.1.2
is_post_2000,Applicability,"Yes, No",N/A,Boolean,"Must be ""Yes"" or ""No""","If ""No"", the case is not applicable",,,,is_post_2000,BasicFeatureEnum,"yes, no",no,,
is_applicable_case,Applicability,"Yes, No",N/A,Boolean,"If any of the above are ""No"", then this is ""No""",Determines if case should be analyzed,"If is_applicable_case is ""Yes"", then all subsequent fields should be attempted to extract, following validation rules.",,,is_applicable_case,BasicFeatureEnum,"yes, no",no,Applicable Case?,1.1.1
applicability_reason,Applicability,Reason text,N/A,String,"Required if is_applicable_case is ""No""",Reason why case is not applicable,,,,,,,,,
case_type,Case Information,"SV, DV, Both, Murder/Manslaughter",N/A,Categorical,Must be one or more of the specified values,Type of GBV case,"Could break down into is_sexual_violence
is_domestic_violence, is_murder_manslaughter. Both is when sexual violence is perpetrated by a family member.",,,case_type,CaseInfoEnum,"sexual_violence, domestic_violence, sexual_domestic_violence, manslaughter_murder",sexual_violence,Type of Case,1.1.7
date,Case Information,dd/mm/yyyy,N/A,Date,Must be in dd/mm/yyyy format,Date of sentencing decision,,,,date,CaseInfoEnum,None,unknown,Date,
